Title,Link,Description
Measuring the Reliability of Reinforcement Learning Algorithms. ,http://arxiv.org/abs/1912.05663,"Lack of reliability is a well-known issue for reinforcement learning (RL)
algorithms. This problem has gained increasing attention in recent years, and
efforts to improve it have grown substantially. To aid RL researchers and
production users with the evaluation and improvement of reliability, we propose
a set of metrics that quantitatively measure different aspects of reliability.
In this work, we focus on variability and risk, both during training and after
learning (on a fixed policy). We designed these metrics to be general-purpose,
and we also designed complementary statistical tests to enable rigorous
comparisons on these metrics. In this paper, we first describe the desired
properties of the metrics and their design, the aspects of reliability that
they measure, and their applicability to different scenarios. We then describe
the statistical tests and make additional practical recommendations for
reporting results. The metrics and accompanying statistical tools have been
made available as an open-source library, here:
https://github.com/google-research/rl-reliability-metrics . We apply our
metrics to a set of common RL algorithms and environments, compare them, and
analyze the results.
"
Managing Machine Learning Workflow Components. ,http://arxiv.org/abs/1912.05665,"Machine Learning Workflows~(MLWfs) have become essential and a disruptive
approach in problem-solving over several industries. However, the development
process of MLWfs may be complicated, hard to achieve, time-consuming, and
error-prone. To handle this problem, in this paper, we introduce \emph{machine
learning workflow management}~(MLWfM) as a technique to aid the development and
reuse of MLWfs and their components through three aspects: representation,
execution, and creation. More precisely, we discuss our approach to structure
the MLWfs' components and their metadata to aid retrieval and reuse of
components in new MLWfs. Also, we consider the execution of these components
within a tool. The hybrid knowledge representation, called Hyperknowledge,
frames our methodology, supporting the three MLWfM's aspects. To validate our
approach, we show a practical use case in the Oil \&amp; Gas industry.
"
"Ratatoskr: An open-source framework for in-depth power, performance and area analysis in 3D NoCs. ",http://arxiv.org/abs/1912.05670,"We introduce ratatoskr, an open-source framework for in-depth power,
performance and area (PPA) analysis in NoCs for 3D-integrated and heterogeneous
System-on-Chips (SoCs). It covers all layers of abstraction by providing a NoC
hardware implementation on RT level, a NoC simulator on cycle-accurate level
and an application model on transaction level. By this comprehensive approach,
ratatoskr can provide the following specific PPA analyses: Dynamic power of
links can be measured within 2.4% accuracy of bit-level simulations while
maintaining cycle-accurate simulation speed. Router power is determined from RT
level synthesis combined with cycle-accurate simulations. The performance of
the whole NoC can be measured both via cycle-accurate and RT level simulations.
The performance of individual routers is obtained from RT level including
gate-level verification. The NoC area is calculated from RT level. Despite
these manifold features, ratatoskr offers easy two-step user interaction:
First, a single point-of-entry that allows to set design parameters and second,
PPA reports are generated automatically. For both the input and the output,
different levels of abstraction can be chosen for high-level rapid network
analysis or low-level improvement of architectural details. The synthesize NoC
model reduces up to 32% total router power and 3% router area in comparison to
a conventional standard router. As a forward-thinking and unique feature not
found in other NoC PPA-measurement tools, ratatoskr supports heterogeneous 3D
integration that is one of the most promising integration paradigms for
upcoming SoCs. Thereby, ratatoskr lies the groundwork to design their
communication architectures.
"
Linear Mode Connectivity and the Lottery Ticket Hypothesis. ,http://arxiv.org/abs/1912.05671,"We introduce ""instability analysis,"" a framework for assessing whether the
outcome of optimizing a neural network is robust to SGD noise. It entails
training two copies of a network on different random data orders. If error does
not increase along the linear path between the trained parameters, we say the
network is ""stable."" Instability analysis reveals new properties of neural
networks. For example, standard vision models are initially unstable but become
stable early in training; from then on, the outcome of optimization is
determined up to linear interpolation. We leverage instability analysis to
examine iterative magnitude pruning (IMP), the procedure underlying the lottery
ticket hypothesis. On small vision tasks, IMP finds sparse ""matching
subnetworks"" that can train in isolation from initialization to full accuracy,
but it fails to do so in more challenging settings. We find that IMP
subnetworks are matching only when they are stable. In cases where IMP
subnetworks are unstable at initialization, they become stable and matching
early in training. We augment IMP to rewind subnetworks to their weights early
in training, producing sparse subnetworks of large-scale networks, including
Resnet-50 for ImageNet, that train to full accuracy.
</p>
<p>This submission subsumes <a href=""/abs/1903.01611"">1903.01611</a> (""Stabilizing the Lottery Ticket
Hypothesis"" and ""The Lottery Ticket Hypothesis at Scale"").
"
Biases for Emergent Communication in Multi-agent Reinforcement Learning. ,http://arxiv.org/abs/1912.05676,"We study the problem of emergent communication, in which language arises
because speakers and listeners must communicate information in order to solve
tasks. In temporally extended reinforcement learning domains, it has proved
hard to learn such communication without centralized training of agents, due in
part to a difficult joint exploration problem. We introduce inductive biases
for positive signalling and positive listening, which ease this problem. In a
simple one-step environment, we demonstrate how these biases ease the learning
problem. We also apply our methods to a more extended environment, showing that
agents with these inductive biases achieve better performance, and analyse the
resulting communication protocols.
"
Mobility-Aware Smart Charging of Electric Bus Fleets. ,http://arxiv.org/abs/1912.05681,"We study the joint route assignment and charge scheduling problem of a
transit system dispatcher operating a fleet of electric buses in order to
maximize solar energy integration and reduce energy costs. Specifically, we
consider a complex bus transit system with preexisting routes, limited charging
infrastructure, limited number of electric buses, and time-varying electricity
rates. We present a mixed integer linear program (MILP) that yields the minimal
cost daily operation strategy for the fleet (i.e., route assignments and
charging schedules using daily solar forecasts). We present numerical results
from a real-world case study with Stanford University's Marguerite Shuttle (a
large-scale electric bus fleet) to demonstrate the validity of our solution and
highlight the significant cost savings compared to the status quo.
"
Learning to Model Aspects of Hearing Perception Using Neural Loss Functions. ,http://arxiv.org/abs/1912.05683,"We present a framework to model the perceived quality of audio signals by
combining convolutional architectures, with ideas from classical signal
processing, and describe an approach to enhancing perceived acoustical quality.
We demonstrate the approach by transforming the sound of an inexpensive musical
with degraded sound quality to that of a high-quality musical instrument
without the need for parallel data which is often hard to collect. We adapt the
classical approach of a simple adaptive EQ filtering to the objective criterion
learned by a neural architecture and optimize it to get the signal of our
interest. Since we learn adaptive masks depending on the signal of interest as
opposed to a fixed transformation for all the inputs, we show that shallow
neural architectures can achieve the desired result. A simple constraint on the
objective and the initialization helps us in avoiding adversarial examples,
which otherwise would have produced noisy, unintelligible audio. We believe
that the current framework proposed has enormous applications, in a variety of
problems where one can learn a loss function depending on the problem, using a
neural architecture and optimize it after it has been learned.
"
Online Deep Reinforcement Learning for Autonomous UAV Navigation and Exploration of Outdoor Environments. ,http://arxiv.org/abs/1912.05684,"With the rapidly growing expansion in the use of UAVs, the ability to
autonomously navigate in varying environments and weather conditions remains a
highly desirable but as-of-yet unsolved challenge. In this work, we use Deep
Reinforcement Learning to continuously improve the learning and understanding
of a UAV agent while exploring a partially observable environment, which
simulates the challenges faced in a real-life scenario. Our innovative approach
uses a double state-input strategy that combines the acquired knowledge from
the raw image and a map containing positional information. This positional data
aids the network understanding of where the UAV has been and how far it is from
the target position, while the feature map from the current scene highlights
cluttered areas that are to be avoided. Our approach is extensively tested
using variants of Deep Q-Network adapted to cope with double state input data.
Further, we demonstrate that by altering the reward and the Q-value function,
the agent is capable of consistently outperforming the adapted Deep Q-Network,
Double Deep Q- Network and Deep Recurrent Q-Network. Our results demonstrate
that our proposed Extended Double Deep Q-Network (EDDQN) approach is capable of
navigating through multiple unseen environments and under severe weather
conditions.
"
"Bayesian Hyperparameter Optimization with BoTorch, GPyTorch and Ax. ",http://arxiv.org/abs/1912.05686,"Deep learning models are full of hyperparameters, which are set manually
before the learning process can start. To find the best configuration for these
hyperparameters in such a high dimensional space, with time-consuming and
expensive model training / validation, is not a trivial challenge. Bayesian
optimization is a powerful tool for the joint optimization of hyperparameters,
efficiently trading off exploration and exploitation of the hyperparameter
space. In this paper, we discuss Bayesian hyperparameter optimization,
including hyperparameter optimization, Bayesian optimization, and Gaussian
processes. We also review BoTorch, GPyTorch and Ax, the new open-source
frameworks that we use for Bayesian optimization, Gaussian process inference
and adaptive experimentation, respectively. For experimentation, we apply
Bayesian hyperparameter optimization, for optimizing group weights, to weighted
group pooling, which couples unsupervised tiered graph autoencoders learning
and supervised graph classification learning for molecular graphs. We find that
Ax, BoTorch and GPyTorch together provide a simple-to-use but powerful
framework for Bayesian hyperparameter optimization, using Ax's high-level API
that constructs and runs a full optimization loop and returns the best
hyperparameter configuration.
"
REFINED (REpresentation of Features as Images with NEighborhood Dependencies): A novel feature representation for Convolutional Neural Networks. ,http://arxiv.org/abs/1912.05687,"Deep learning with Convolutional Neural Networks has shown great promise in
various areas of image-based classification and enhancement but is often
unsuitable for predictive modeling involving non-image based features or
features without spatial correlations. We present a novel approach for
representation of high dimensional feature vector in a compact image form,
termed REFINED (REpresentation of Features as Images with NEighborhood
Dependencies), that is conducible for convolutional neural network based deep
learning. We consider the correlations between features to generate a compact
representation of the features in the form of a two-dimensional image using
minimization of pairwise distances similar to multi-dimensional scaling. We
hypothesize that this approach enables embedded feature selection and
integrated with Convolutional Neural Network based Deep Learning can produce
more accurate predictions as compared to Artificial Neural Networks, Random
Forests and Support Vector Regression. We illustrate the superior predictive
performance of the proposed representation, as compared to existing approaches,
using synthetic datasets, cell line efficacy prediction based on drug chemical
descriptors for NCI60 dataset and drug sensitivity prediction based on
transcriptomic data and chemical descriptors using GDSC dataset. Results
illustrated on both synthetic and biological datasets shows the higher
prediction accuracy of the proposed framework as compared to existing
methodologies while maintaining desirable properties in terms of bias and
feature extraction.
"
Learned Variable-Rate Image Compression with Residual Divisive Normalization. ,http://arxiv.org/abs/1912.05688,"Recently it has been shown that deep learning-based image compression has
shown the potential to outperform traditional codecs. However, most existing
methods train multiple networks for multiple bit rates, which increases the
implementation complexity. In this paper, we propose a variable-rate image
compression framework, which employs more Generalized Divisive Normalization
(GDN) layers than previous GDN-based methods. Novel GDN-based residual
sub-networks are also developed in the encoder and decoder networks. Our scheme
also uses a stochastic rounding-based scalable quantization. To further improve
the performance, we encode the residual between the input and the reconstructed
image from the decoder network as an enhancement layer. To enable a single
model to operate with different bit rates and to learn multi-rate image
features, a new objective function is introduced. Experimental results show
that the proposed framework trained with variable-rate objective function
outperforms all standard codecs such as H.265/HEVC-based BPG and
state-of-the-art learning-based variable-rate methods.
"
Tensor Completion for Weakly-dependent Data on Graph for Metro Passenger Flow Prediction. ,http://arxiv.org/abs/1912.05693,"Low-rank tensor decomposition and completion have attracted significant
interest from academia given the ubiquity of tensor data. However, the low-rank
structure is a global property, which will not be fulfilled when the data
presents complex and weak dependencies given specific graph structures. One
particular application that motivates this study is the spatiotemporal data
analysis. As shown in the preliminary study, weakly dependencies can worsen the
low-rank tensor completion performance. In this paper, we propose a novel
low-rank CANDECOMP / PARAFAC (CP) tensor decomposition and completion framework
by introducing the $L_{1}$-norm penalty and Graph Laplacian penalty to model
the weakly dependency on graph. We further propose an efficient optimization
algorithm based on the Block Coordinate Descent for efficient estimation. A
case study based on the metro passenger flow data in Hong Kong is conducted to
demonstrate improved performance over the regular tensor completion methods.
"
Near-optimal Oracle-efficient Algorithms for Stationary and Non-Stationary Stochastic Linear Bandits. ,http://arxiv.org/abs/1912.05695,"We investigate the design of two algorithms that enjoy not only computational
efficiency induced by Hannan's perturbation approach, but also minimax-optimal
regret bounds in linear bandit problems where the learner has access to an
offline optimization oracle. We present an algorithm called
Follow-The-Gaussian-Perturbed Leader (FTGPL) for stationary linear bandit where
each action is associated with a $d$-dimensional feature vector, and prove that
FTGPL (1) achieves the minimax-optimal $\tilde{\mathcal{O}}(d\sqrt{T})$ regret,
(2) matches the empirical performance of Linear Thompson Sampling, and (3) can
be efficiently implemented even in the case of infinite actions, thus achieving
the best of three worlds. Furthermore, it firmly solves an open problem raised
in \citet{abeille2017linear}, which perturbation achieves minimax-optimality in
Linear Thompson Sampling. The weighted variant with exponential discounting,
Discounted Follow-The-Gaussian-Perturbed Leader (D-FTGPL) is proposed to
gracefully adjust to non-stationary environment where unknown parameter is
time-varying within total variation $B_T$. It asymptotically achieves optimal
dynamic regret $\tilde{\mathcal{O}}( d ^{2/3}B_T^{1/3} T^{2/3})$ and is
oracle-efficient due to access to an offline optimization oracle induced by
Gaussian perturbation.
"
What it Thinks is Important is Important: Robustness Transfers through Input Gradients. ,http://arxiv.org/abs/1912.05699,"Adversarial perturbations are imperceptible changes to input pixels that can
change the prediction of deep learning models. Learned weights of models robust
to such perturbations are previously found to be transferable across different
tasks but this applies only if the model architecture for the source and target
tasks is the same. Input gradients characterize how small changes at each input
pixel affect the model output. Using only natural images, we show here that
training a student model's input gradients to match those of a robust teacher
model can gain robustness close to a strong baseline that is robustly trained
from scratch. Through experiments in MNIST, CIFAR-10, CIFAR-100 and
Tiny-ImageNet, we show that our proposed method, input gradient adversarial
matching, can transfer robustness across different tasks and even across
different model architectures. This demonstrates that directly targeting the
semantics of input gradients is a feasible way towards adversarial robustness.
"
Short simplex paths in lattice polytopes. ,http://arxiv.org/abs/1912.05712,"We consider the problem of optimizing a linear function over a lattice
polytope P contained in [0,k]^n and defined via m linear inequalities. We
design a simplex algorithm that, given an initial vertex, reaches an optimal
vertex by tracing a path along the edges of P of length at most O(n^6 k log k).
The length of this path is independent on m and is the best possible up to a
polynomial function, since it is only polynomially far from the worst case
diameter. The number of arithmetic operations needed to compute the next vertex
in the path is polynomial in n, m and log k. If k is polynomially bounded by n
and m, the algorithm runs in strongly polynomial time.
"
A numerical study of the pollution error and DPG adaptivity for long waveguide simulations. ,http://arxiv.org/abs/1912.05716,"High-frequency wave propagation has many important applications in acoustics,
elastodynamics, and electromagnetics. Unfortunately, the finite element
discretization for these problems suffer from significant numerical pollution
errors that increase with the wavenumber. It is critical to control these
errors to obtain a stable and accurate method. We study the effect of pollution
for very long waveguide problems in the context of robust discontinuous
Petrov-Galerkin (DPG) finite element discretizations. Our numerical experiments
show that the pollution primarily has a diffusive effect causing energy loss in
the DPG method while phase errors appear less significant. We report results
for 3D vectorial time-harmonic Maxwell problems in waveguides with more than
8000 wavelengths. Our results corroborate previous analysis for the Galerkin
discretization of the Helmholtz operator by Melenk and Sauter (""Wavenumber
explicit convergence analysis for Galerkin discretizations of the Helmholtz
equation"". In: SIAM J. Numer. Anal. 49.3 (2011), pp. 1210-1243). Additionally,
we discuss adaptive refinement strategies for multi-mode fiber waveguides where
the propagating transverse modes must be resolved sufficiently. Our study shows
the applicability of the DPG error indicator to this class of problems.
Finally, we illustrate the importance of load balancing in these simulations
for distributed-memory parallel computing.
"
Sparse Interpolation With Errors in Chebyshev Basis Beyond Redundant-Block Decoding. ,http://arxiv.org/abs/1912.05719,"We present sparse interpolation algorithms for recovering a polynomial with
$\le B$ terms from $N$ evaluations at distinct values for the variable when
$\le E$ of the evaluations can be erroneous. Our algorithms perform exact
arithmetic in the field of scalars $\mathsf{K}$ and the terms can be standard
powers of the variable or Chebyshev polynomials, in which case the
characteristic of $\mathsf{K}$ is $\ne 2$. Our algorithms return a list of
valid sparse interpolants for the $N$ support points and run in
polynomial-time. For standard power basis our algorithms sample at $N = \lfloor
\frac{4}{3} E + 2 \rfloor B$ points and for Chebyshev basis at $N = \lfloor
\frac{3}{2} E + 2 \rfloor B$ points. Those are fewer points than $N = 2(E+1)B -
1$ in [Kaltofen and Pernet, Proc. ISSAC 2014] for standard power basis and
fewer than in [Arnold and Kaltofen, Proc. ISSAC 2015] for Chebyshev basis,
where only the cases $B\le 3$ have explicit counts for $N$. Our method shows
how to correct $2$ errors in a block of $4B$ points for standard basis and how
to correct $1$ error in a block of $3B$ points for Chebyshev Basis.
"
Using Deep Learning to Solve Computer Security Challenges: A Survey. ,http://arxiv.org/abs/1912.05721,"Although using machine learning techniques to solve computer security
challenges is not a new idea, the rapidly emerging Deep Learning technology has
recently triggered a substantial amount of interests in the computer security
community. This paper seeks to provide a dedicated review of the very recent
research works on using Deep Learning techniques to solve computer security
challenges. In particular, the review covers eight computer security problems
being solved by applications of Deep Learning: security-oriented program
analysis, defending return-oriented programming (ROP) attacks, achieving
control-flow integrity (CFI), defending network attacks, malware
classification, system-event-based anomaly detection, memory forensics, and
fuzzing for software security.
"
On the relationship between multitask neural networks and multitask Gaussian Processes. ,http://arxiv.org/abs/1912.05723,"Despite the effectiveness of multitask deep neural network (MTDNN), there is
a limited theoretical understanding on how the information is shared across
different tasks in MTDNN. In this work, we establish a formal connection
between MTDNN with infinitely-wide hidden layers and multitask Gaussian Process
(GP). We derive multitask GP kernels corresponding to both single-layer and
deep multitask Bayesian neural networks (MTBNN) and show that information among
different tasks is shared primarily due to correlation across last layer
weights of MTBNN and shared hyper-parameters, which is contrary to the popular
hypothesis that information is shared because of shared intermediate layer
weights. Our construction enables using multitask GP to perform efficient
Bayesian inference for the equivalent MTDNN with infinitely-wide hidden layers.
Prior work on the connection between deep neural networks and GP for single
task settings can be seen as special cases of our construction. We also present
an adaptive multitask neural network architecture that corresponds to a
multitask GP with more flexible kernels, such as Linear Model of
Coregionalization (LMC) and Cross-Coregionalization (CC) kernels. We provide
experimental results to further illustrate these ideas on synthetic and real
datasets.
"
Semantic segmentation of trajectories with improved agent models for pedestrian behavior analysis. ,http://arxiv.org/abs/1912.05727,"In this paper, we propose a method for semantic segmentation of pedestrian
trajectories based on pedestrian behavior models, or agents. The agents model
the dynamics of pedestrian movements in two-dimensional space using a linear
dynamics model and common start and goal locations of trajectories. First,
agent models are estimated from the trajectories obtained from image sequences.
Our method is built on top of the Mixture model of Dynamic pedestrian Agents
(MDA); however, the MDA's trajectory modeling and estimation are improved.
Then, the trajectories are divided into semantically meaningful segments. The
subsegments of a trajectory are modeled by applying a hidden Markov model using
the estimated agent models. Experimental results with a real trajectory dataset
show the effectiveness of the proposed method as compared to the well-known
classical Ramer-Douglas-Peucker algorithm and also to the original MDA model.
"
AliMe KBQA: Question Answering over Structured Knowledge for E-commerce Customer Service. ,http://arxiv.org/abs/1912.05728,"With the rise of knowledge graph (KG), question answering over knowledge base
(KBQA) has attracted increasing attention in recent years. Despite much
research has been conducted on this topic, it is still challenging to apply
KBQA technology in industry because business knowledge and real-world questions
can be rather complicated. In this paper, we present AliMe-KBQA, a bold attempt
to apply KBQA in the E-commerce customer service field. To handle real
knowledge and questions, we extend the classic ""subject-predicate-object (SPO)""
structure with property hierarchy, key-value structure and compound value type
(CVT), and enhance traditional KBQA with constraints recognition and reasoning
ability. We launch AliMe-KBQA in the Marketing Promotion scenario for merchants
during the ""Double 11"" period in 2018 and other such promotional events
afterwards. Online results suggest that AliMe-KBQA is not only able to gain
better resolution and improve customer satisfaction, but also becomes the
preferred knowledge management method by business knowledge staffs since it
offers a more convenient and efficient management experience.
"
Improved Activity Forecasting for Generating Trajectories. ,http://arxiv.org/abs/1912.05729,"An efficient inverse reinforcement learning for generating trajectories is
proposed based of 2D and 3D activity forecasting. We modify reward function
with $L_p$ norm and propose convolution into value iteration steps, which is
called convolutional value iteration. Experimental results with seabird
trajectories (43 for training and 10 for test), our method is best in terms of
MHD error and performs fastest. Generated trajectories for interpolating
missing parts of trajectories look much similar to real seabird trajectories
than those by the previous works.
"
Meaning guided video captioning. ,http://arxiv.org/abs/1912.05730,"Current video captioning approaches often suffer from problems of missing
objects in the video to be described, while generating captions semantically
similar with ground truth sentences. In this paper, we propose a new approach
to video captioning that can describe objects detected by object detection, and
generate captions having similar meaning with correct captions. Our model
relies on S2VT, a sequence-to-sequence model for video captioning. Given a
sequence of video frames, the encoding RNN takes a frame as well as detected
objects in the frame in order to incorporate the information of the objects in
the scene. The following decoding RNN outputs are then fed into an attention
layer and then to a decoder for generating captions. The caption is compared
with the ground truth by learning metric so that vector representations of
generated captions are semantically similar to those of ground truth.
Experimental results with the MSDV dataset demonstrate that the performance of
the proposed approach is much better than the model without the proposed
meaning-guided framework, showing the effectiveness of the proposed model. Code
are publicly available at
https://github.com/captanlevi/Meaning-guided-video-captioning-.
"
Robust Data-driven Profile-based Pricing Schemes. ,http://arxiv.org/abs/1912.05731,"To enable an efficient electricity market, a good pricing scheme is of vital
importance. Among many practical schemes, customized pricing is commonly
believed to be able to best exploit the flexibility in the demand side.
However, due to the large volume of consumers in the electricity sector, such
task is simply too overwhelming. In this paper, we first compare two data
driven schemes: one based on load profile and the other based on user's
marginal system cost. Vulnerability analysis shows that the former approach may
lead to loopholes in the electricity market while the latter one is able to
guarantee the robustness, which yields our robust data-driven pricing scheme.
Although k-means clustering is in general NP-hard, surprisingly, by exploiting
the structure of our problem, we design an efficient yet optimal k-means
clustering algorithm to implement our proposed scheme.
"
Fundamental Limits of Lossless Data Compression with Side Information. ,http://arxiv.org/abs/1912.05734,"The problem of lossless data compression with side information available to
both the encoder and the decoder is considered. The finite-blocklength
fundamental limits of the best achievable performance are defined, in two
different versions of the problem: Reference-based compression, when a single
side information string is used repeatedly in compressing different source
messages, and pair-based compression, where a different side information string
is used for each source message. General achievability and converse theorems
are established for arbitrary source-side information pairs, and the optimal
asymptotic behaviour of arbitrary compressors is determined for ergodic
source-side information pairs. A central limit theorem and a law of the
iterated logarithm are proved, describing the inevitable fluctuations of the
second-order asymptotically best possible rate, under appropriate mixing
conditions. An idealized version of Lempel-Ziv coding with side information is
shown to be first- and second-order asymptotically optimal, under the same
conditions. Nonasymptotic normal approximation expansions are proved for the
optimal rate in both the reference-based and pair-based settings, for
memoryless sources. These are stated in terms of explicit, finite-blocklength
bounds, that are tight up to third-order terms. Extensions that go
significantly beyond the class of memoryless sources are obtained. The relevant
source dispersion is identified and its relationship with the conditional
varentropy rate is established. Interestingly, the dispersion is different in
reference-based and pair-based compression, and it is proved that the
reference-based dispersion is in general smaller.
"
Gaussian Conditionally Markov Sequences: Dynamic Models and Representations of Reciprocal and Other Classes. ,http://arxiv.org/abs/1912.05739,"Conditionally Markov (CM) sequences are powerful mathematical tools for
modeling problems. One class of CM sequences is the reciprocal sequence. In
application, we need not only CM dynamic models, but also know how to design
model parameters. Models of two important classes of nonsingular Gaussian (NG)
CM sequences, called $CM_L$ and $CM_F$ models, and a model of the NG reciprocal
sequence, called reciprocal $CM_L$ model, were presented in our previous works
and their applications were discussed. In this paper, these models are studied
in more detail, in particular their parameter design. It is shown that every
reciprocal $CM_L$ model can be induced by a Markov model. Then, parameters of
each reciprocal $CM_L$ model can be obtained from those of the Markov model.
Also, it is shown that a NG $CM_L$ ($CM_F$) sequence can be represented by a
sum of a NG Markov sequence and an uncorrelated NG vector. This (necessary and
sufficient) representation provides a basis for designing parameters of a
$CM_L$ ($CM_F$) model. From the CM viewpoint, a representation is also obtained
for NG reciprocal sequences. This representation is simple and reveals an
important property of reciprocal sequences. As a result, the significance of
studying reciprocal sequences from the CM viewpoint is demonstrated. A full
spectrum of dynamic models from a $CM_L$ model to a reciprocal $CM_L$ model is
also presented. Some examples are presented for illustration.
"
The Metagenomic Binning Problem: Clustering Markov Sequences. ,http://arxiv.org/abs/1912.05741,"The goal of metagenomics is to study the composition of microbial
communities, typically using high-throughput shotgun sequencing. In the
metagenomic binning problem, we observe random substrings (called contigs) from
a mixture of genomes and want to cluster them according to their genome of
origin. Based on the empirical observation that genomes of different bacterial
species can be distinguished based on their tetranucleotide frequencies, we
model this task as the problem of clustering N sequences generated by M
distinct Markov processes, where M&lt;&lt;N. Utilizing the large-deviation principle
for Markov processes, we establish the information-theoretic limit for perfect
binning. Specifically, we show that the length of the contigs must scale with
the inverse of the Chernoff Information between the two most similar species.
Our result also implies that contigs should be binned using the conditional
relative entropy as a measure of distance, as opposed to the Euclidean distance
often used in practice.
"
Exploratory Not Explanatory: Counterfactual Analysis of Saliency Maps for Deep RL. ,http://arxiv.org/abs/1912.05743,"Saliency maps have been used to support explanations of deep reinforcement
learning (RL) agent behavior over temporally extended sequences. However, their
use in the community indicates that the explanations derived from saliency maps
are often unfalsifiable and can be highly subjective. We introduce an empirical
approach grounded in counterfactual reasoning to test the hypotheses generated
from saliency maps and assess the degree to which saliency maps represent
semantics of RL environments. We evaluate three types of saliency maps using
Atari games, a common benchmark for deep RL. Our results show the extent to
which existing claims about Atari games can be evaluated and suggest that
saliency maps are an exploratory tool not an explanatory tool.
"
Artificial Intelligence-Enabled Intelligent 6G Networks. ,http://arxiv.org/abs/1912.05744,"With the rapid development of smart terminals and infrastructures, as well as
diversified applications (e.g., virtual and augmented reality, remote surgery
and holographic projection) with colorful requirements, current networks (e.g.,
4G and upcoming 5G networks) may not be able to completely meet quickly rising
traffic demands. Accordingly, efforts from both industry and academia have
already been put to the research on 6G networks. Recently, artificial
intelligence (AI) has been utilized as a new paradigm for the design and
optimization of 6G networks with a high level of intelligence. Therefore, this
article proposes an AI-enabled intelligent architecture for 6G networks to
realize knowledge discovery, smart resource management, automatic network
adjustment and intelligent service provisioning, where the architecture is
divided into four layers: intelligent sensing layer, data mining and analytics
layer, intelligent control layer and smart application layer. We then review
and discuss the applications of AI techniques for 6G networks and elaborate how
to employ the AI techniques to efficiently and effectively optimize the network
performance, including AI-empowered mobile edge computing, intelligent mobility
and handover management, and smart spectrum management. Moreover, we highlight
important future research directions and potential solutions for AI-enabled
intelligent 6G networks, including computation efficiency, algorithms
robustness, hardware development and energy management.
"
Multi-Agent Task Allocation in Complementary Teams: A Hunter and Gatherer Approach. ,http://arxiv.org/abs/1912.05748,"Consider a dynamic task allocation problem, where tasks are unknowingly
distributed over an environment. This paper considers each task comprised of
two sequential subtasks: detection and completion, where each subtask can only
be carried out by a certain type of agent. We address this problem using a
novel nature-inspired approach called ""hunter and gatherer"". The proposed
method employs two complementary teams of agents: one agile in detecting
(hunters) and another dexterous in completing (gatherers) the tasks. To
minimize the collective cost of task accomplishments in a distributed manner, a
game-theoretic solution is introduced to couple agents from complementary
teams. We utilize market-based negotiation models to develop incentive-based
decision-making algorithms relying on innovative notions of ""certainty and
uncertainty profit margins"". The simulation results demonstrate that employing
two complementary teams of hunters and gatherers can effectually improve the
number of tasks completed by agents compared to conventional methods, while the
collective cost of accomplishments is minimized. In addition, the stability and
efficacy of the proposed solutions are studied using Nash equilibrium analysis
and statistical analysis respectively. It is also numerically shown that the
proposed solutions function fairly, i.e. for each type of agent, the overall
workload is distributed equally.
"
"The Use of Deep Learning for Symbolic Integration: A Review of (Lample and Charton, 2019). ",http://arxiv.org/abs/1912.05752,"Lample and Charton (2019) describe a system that uses deep learning
technology to compute symbolic, indefinite integrals, and to find symbolic
solutions to first- and second-order ordinary differential equations, when the
solutions are elementary functions. They found that, over a particular test
set,the system could find solutions more successfully than sophisticated
packages for symbolic mathematics such as Mathematica run with a long time-out.
However, some important categories of examples are not included in their corpus
and have not been tested. Some of these categories are certainly outside the
scope of their system. Overall their system is entirely dependent on
pre-existing, sophisticated, software for symbolic mathematics; it does not
constitute any kind of triumph of deep learning methods over symbolic methods.
"
Pathway Activity Analysis and Metabolite Annotation for Untargeted Metabolomics using Probabilistic Modeling. ,http://arxiv.org/abs/1912.05753,"Motivation: Untargeted metabolomics comprehensively characterizes small
molecules and elucidates activities of biochemical pathways within a biological
sample. Despite computational advances, interpreting collected measurements and
determining their biological role remains a challenge. Results: To interpret
measurements, we present an inference-based approach, termed Probabilistic
modeling for Untargeted Metabolomics Analysis (PUMA). Our approach captures
measurements and known information about the sample under study in a generative
model and uses stochastic sampling to compute posterior probability
distributions. PUMA predicts the likelihood of pathways being active, and then
derives a probabilistic annotation, which assigns chemical identities to the
measurements. PUMA is validated on synthetic datasets. When applied to test
cases, the resulting pathway activities are biologically meaningful and
distinctly different from those obtained using statistical pathway enrichment
techniques. Annotation results are in agreement to those obtained using other
tools that utilize additional information in the form of spectral signatures.
Importantly, PUMA annotates many additional measurements.
"
